"GEO_ID","NAME","B25003_001E","B25003_001M","B25003_002E","B25003_002M","B25003_003E","B25003_003M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Owner occupied","Margin of Error!!Total:!!Owner occupied","Estimate!!Total:!!Renter occupied","Margin of Error!!Total:!!Renter occupied",
"0500000US01001","Autauga County, Alabama","22917","435","17660","656","5257","514",
"0500000US01003","Baldwin County, Alabama","98574","1224","76497","1493","22077","1398",
"0500000US01005","Barbour County, Alabama","9128","308","6229","330","2899","312",
"0500000US01007","Bibb County, Alabama","7704","283","6100","340","1604","311",
"0500000US01009","Blount County, Alabama","22180","426","17962","555","4218","582",
"0500000US01011","Bullock County, Alabama","3688","239","2458","227","1230","208",
"0500000US01013","Butler County, Alabama","7597","311","5002","274","2595","295",
"0500000US01015","Calhoun County, Alabama","45015","664","31654","863","13361","850",
"0500000US01017","Chambers County, Alabama","13434","411","9643","439","3791","404",
"0500000US01019","Cherokee County, Alabama","10192","402","8264","414","1928","276",
"0500000US01021","Chilton County, Alabama","17875","347","13738","511","4137","493",
"0500000US01023","Choctaw County, Alabama","5255","267","4329","224","926","197",
"0500000US01025","Clarke County, Alabama","8423","423","5962","365","2461","349",
"0500000US01027","Clay County, Alabama","5820","286","4623","283","1197","220",
"0500000US01029","Cleburne County, Alabama","5980","217","4697","271","1283","267",
"0500000US01031","Coffee County, Alabama","20984","409","15163","544","5821","470",
"0500000US01033","Colbert County, Alabama","24301","431","17323","614","6978","600",
"0500000US01035","Conecuh County, Alabama","4417","276","3283","263","1134","239",
"0500000US01037","Coosa County, Alabama","4418","210","3604","243","814","180",
"0500000US01039","Covington County, Alabama","14642","411","11168","370","3474","403",
"0500000US01041","Crenshaw County, Alabama","5233","190","3831","205","1402","198",
"0500000US01043","Cullman County, Alabama","35347","449","27088","680","8259","623",
"0500000US01045","Dale County, Alabama","19727","413","12210","415","7517","480",
"0500000US01047","Dallas County, Alabama","15947","416","10178","442","5769","500",
"0500000US01049","DeKalb County, Alabama","26181","470","20490","582","5691","511",
"0500000US01051","Elmore County, Alabama","32856","541","25290","665","7566","647",
"0500000US01053","Escambia County, Alabama","12808","467","9087","479","3721","400",
"0500000US01055","Etowah County, Alabama","39411","707","29128","683","10283","583",
"0500000US01057","Fayette County, Alabama","6255","271","4905","279","1350","236",
"0500000US01059","Franklin County, Alabama","11954","352","8651","423","3303","382",
"0500000US01061","Geneva County, Alabama","10647","358","8316","372","2331","293",
"0500000US01063","Greene County, Alabama","3225","164","1987","207","1238","231",
"0500000US01065","Hale County, Alabama","5642","292","4197","260","1445","264",
"0500000US01067","Henry County, Alabama","7062","248","5614","280","1448","257",
"0500000US01069","Houston County, Alabama","43302","462","27624","485","15678","530",
"0500000US01071","Jackson County, Alabama","21795","348","16374","469","5421","466",
"0500000US01073","Jefferson County, Alabama","269883","1816","172419","2341","97464","2461",
"0500000US01075","Lamar County, Alabama","5086","257","3849","273","1237","194",
"0500000US01077","Lauderdale County, Alabama","39258","511","27047","741","12211","778",
"0500000US01079","Lawrence County, Alabama","13627","271","11129","387","2498","347",
"0500000US01081","Lee County, Alabama","69436","892","46064","987","23372","1085",
"0500000US01083","Limestone County, Alabama","40953","626","31777","818","9176","748",
"0500000US01085","Lowndes County, Alabama","4284","160","3321","192","963","175",
"0500000US01087","Macon County, Alabama","7237","245","4454","260","2783","251",
"0500000US01089","Madison County, Alabama","165031","1056","112734","1610","52297","1696",
"0500000US01091","Marengo County, Alabama","7898","268","5548","290","2350","326",
"0500000US01093","Marion County, Alabama","10614","401","8148","352","2466","293",
"0500000US01095","Marshall County, Alabama","36459","416","27625","595","8834","566",
"0500000US01097","Mobile County, Alabama","161665","1065","106752","1555","54913","1514",
"0500000US01099","Monroe County, Alabama","7363","309","5280","350","2083","261",
"0500000US01101","Montgomery County, Alabama","91381","896","52783","1253","38598","1401",
"0500000US01103","Morgan County, Alabama","49040","527","35644","870","13396","887",
"0500000US01105","Perry County, Alabama","3440","169","2667","201","773","165",
"0500000US01107","Pickens County, Alabama","6764","290","5128","280","1636","225",
"0500000US01109","Pike County, Alabama","12484","449","7657","371","4827","438",
"0500000US01111","Randolph County, Alabama","9271","374","7158","348","2113","289",
"0500000US01113","Russell County, Alabama","23938","416","14676","637","9262","630",
"0500000US01115","St. Clair County, Alabama","35107","497","29001","697","6106","660",
"0500000US01117","Shelby County, Alabama","86866","570","70672","1007","16194","889",
"0500000US01119","Sumter County, Alabama","4823","259","3224","236","1599","272",
"0500000US01121","Talladega County, Alabama","33644","501","24209","719","9435","659",
"0500000US01123","Tallapoosa County, Alabama","17076","461","12989","522","4087","458",
"0500000US01125","Tuscaloosa County, Alabama","90052","907","55297","1128","34755","1313",
"0500000US01127","Walker County, Alabama","25388","449","19330","540","6058","565",
"0500000US01129","Washington County, Alabama","5963","311","5116","363","847","229",
"0500000US01131","Wilcox County, Alabama","3860","212","2988","232","872","207",
"0500000US01133","Winston County, Alabama","9420","326","7140","318","2280","259",
"0500000US02013","Aleutians East Borough, Alaska","1045","113","671","94","374","88",
"0500000US02016","Aleutians West Census Area, Alaska","956","84","320","73","636","82",
"0500000US02020","Anchorage Municipality, Alaska","108597","1322","69393","1314","39204","1333",
"0500000US02050","Bethel Census Area, Alaska","4828","98","2972","170","1856","161",
"0500000US02060","Bristol Bay Borough, Alaska","291","38","156","25","135","33",
"0500000US02063","Chugach Census Area, Alaska","2861","175","1824","150","1037","156",
"0500000US02066","Copper River Census Area, Alaska","1207","102","827","91","380","89",
"0500000US02068","Denali Borough, Alaska","565","60","367","57","198","49",
"0500000US02070","Dillingham Census Area, Alaska","1403","58","861","102","542","97",
"0500000US02090","Fairbanks North Star Borough, Alaska","36359","1066","22424","737","13935","1030",
"0500000US02100","Haines Borough, Alaska","901","108","707","91","194","53",
"0500000US02105","Hoonah-Angoon Census Area, Alaska","924","90","665","80","259","54",
"0500000US02110","Juneau City and Borough, Alaska","13167","262","8375","375","4792","380",
"0500000US02122","Kenai Peninsula Borough, Alaska","24371","383","18771","486","5600","387",
"0500000US02130","Ketchikan Gateway Borough, Alaska","5732","132","3933","181","1799","158",
"0500000US02150","Kodiak Island Borough, Alaska","4640","197","2834","230","1806","247",
"0500000US02158","Kusilvak Census Area, Alaska","1916","58","1338","79","578","68",
"0500000US02164","Lake and Peninsula Borough, Alaska","324","38","212","26","112","26",
"0500000US02170","Matanuska-Susitna Borough, Alaska","39869","376","30792","523","9077","486",
"0500000US02180","Nome Census Area, Alaska","2816","75","1882","95","934","95",
"0500000US02185","North Slope Borough, Alaska","2281","121","1121","137","1160","164",
"0500000US02188","Northwest Arctic Borough, Alaska","1825","65","1175","58","650","56",
"0500000US02195","Petersburg Borough, Alaska","1371","110","901","114","470","87",
"0500000US02198","Prince of Wales-Hyder Census Area, Alaska","2419","125","1707","90","712","88",
"0500000US02220","Sitka City and Borough, Alaska","3440","140","2123","131","1317","158",
"0500000US02230","Skagway Municipality, Alaska","450","68","319","58","131","33",
"0500000US02240","Southeast Fairbanks Census Area, Alaska","2497","160","1865","161","632","137",
"0500000US02275","Wrangell City and Borough, Alaska","976","64","577","59","399","60",
