county_fips,state,county,total_population,median_household_income,poverty_rate,unemployment_rate,homeownership_rate,renter_rate,bachelors_or_higher_pct,economic_risk_score,risk_category
1001,Alabama,Autauga County,59947,0.3394781536527431,0.1586612907988228,0.0799965817798161,0.801973813474204,0.2293930270105162,0.3618224295614738,0.3470766951780436,Low Risk
1003,Alabama,Baldwin County,246989,0.3775196281678563,0.1394294106223182,0.1051756146931994,0.8076241125847321,0.2239637226854951,0.4183340868061209,0.3282254395513616,Low Risk
1005,Alabama,Barbour County,24643,0.1796785755299152,0.3208497045941628,0.2715617986867257,0.7101824774940244,0.3175942156003505,0.1319628773069509,0.5141175145899995,High Risk
1007,Alabama,Bibb County,22130,0.2189590875848438,0.3381158201453136,0.4220282785945074,0.8240258086037054,0.2082035306334372,0.1456013832610045,0.5143115638580534,High Risk
1009,Alabama,Blount County,59518,0.2893666402741597,0.1838996395122827,0.1745675917832308,0.8427919978652507,0.1901713255184851,0.1964204028372697,0.4059776380637666,Medium Risk
1011,Alabama,Bullock County,10058,0.0906371070588875,0.5119085138867907,0.2521747369678025,0.693614589224649,0.3335140997830803,0.1007873258042542,0.5758088457533604,High Risk
1013,Alabama,Butler County,18630,0.1718998374140984,0.3374313283026198,0.2260058661302654,0.685218080844546,0.3415822035013821,0.1681169312287099,0.5076404689891062,High Risk
1015,Alabama,Calhoun County,116090,0.2339967724583109,0.2647424648098568,0.207642020410313,0.731810433070409,0.2968121737198712,0.2564123951738151,0.450032976903527,High Risk
1017,Alabama,Chambers County,34192,0.2015219007440269,0.2302544164395267,0.1784592793403364,0.7470231763387741,0.2821944320381122,0.1851174969399372,0.4550102243514249,High Risk
1019,Alabama,Cherokee County,25443,0.2269493686952632,0.2143463477783546,0.1356005377090476,0.8438361889564151,0.1891679748822606,0.2048772991191491,0.4148568057433149,Medium Risk
1021,Alabama,Chilton County,45992,0.2979069331705459,0.2025802055367476,0.1909934713252132,0.7998429381399678,0.2314405594405594,0.2044997559681471,0.41826480991666,Medium Risk
1023,Alabama,Choctaw County,12380,0.1903826510568083,0.2422478908555894,0.1758850694513316,0.8573183483905001,0.1762131303520456,0.195714825403533,0.4349434270912159,High Risk
1025,Alabama,Clarke County,22543,0.1990619579210763,0.299544122665722,0.3207023717368931,0.7366351261743768,0.2921761842573905,0.1859385726471287,0.4997221675320066,High Risk
1027,Alabama,Clay County,14192,0.2353325153670875,0.2593414385863232,0.0836201379419986,0.826662356957345,0.2056701030927835,0.1827114247943353,0.4196510558819108,Medium Risk
1029,Alabama,Cleburne County,15426,0.2359067034952947,0.1970671450758231,0.0886533805230585,0.8174225783782391,0.2145484949832776,0.2109988746682173,0.4042784738114261,Medium Risk
1031,Alabama,Coffee County,54920,0.3145281684607527,0.2457918609541368,0.1658206562385836,0.7520108568233871,0.2774018299656881,0.2791954364509998,0.4131756110915162,Medium Risk
1033,Alabama,Colbert County,58022,0.2678376075091719,0.2562541156374914,0.1095407595118589,0.7418672734315939,0.2871486770091765,0.2689011401594774,0.4174377708098215,Medium Risk
1035,Alabama,Conecuh County,11275,0.1511807121141606,0.4247681417853006,0.3037732235203982,0.77351855629303,0.2567353407290015,0.1666209816242348,0.5274442230548547,High Risk
1037,Alabama,Coosa County,10300,0.2480553154710458,0.1881684108095196,0.2158177312775328,0.8489582321745075,0.1842462652784065,0.1720963505405527,0.4269752487801893,High Risk
1039,Alabama,Covington County,37628,0.2184453403122374,0.285566754114901,0.1800626230459623,0.7937838449874217,0.2372626690342849,0.2131976251531895,0.4480405133416029,High Risk
1041,Alabama,Crenshaw County,13122,0.1948975829701845,0.2648670354941396,0.1890405427429535,0.7618836792909176,0.2679151538314542,0.2323569416025822,0.4529538748746818,High Risk
1043,Alabama,Cullman County,90566,0.2800950130250044,0.2233207115934517,0.131786994610764,0.7975384575546981,0.2336549070642487,0.2445063286039108,0.4065935814041205,Medium Risk
1045,Alabama,Dale County,49599,0.2335978628113459,0.2780574240175866,0.2079321707050531,0.6441423784493315,0.3810513509403356,0.2532855396417736,0.4709927627640377,High Risk
1047,Alabama,Dallas County,36858,0.1167294244217321,0.4760190912248059,0.3826902130644775,0.6642180992414158,0.3617608327585125,0.2171160292379269,0.5721291502776417,High Risk
1049,Alabama,DeKalb County,72269,0.2108781451910233,0.3365123030554751,0.1444125289401038,0.8144847944173355,0.2173713761888392,0.1748537193382578,0.4561416346097925,High Risk
1051,Alabama,Elmore County,89526,0.3743041746498963,0.1430311098498962,0.1604729858559199,0.8010532609141117,0.2302775748721694,0.3152936369677395,0.3625706046348137,Low Risk
1053,Alabama,Escambia County,36629,0.1928728143075593,0.2989633260743097,0.3500685164577448,0.7383571117886303,0.290521549031855,0.1679733813726756,0.5099657070126378,High Risk
1055,Alabama,Etowah County,103105,0.2311802285873159,0.2494050963705557,0.2061559276820088,0.7691666834847193,0.2609170028672198,0.2245814938594817,0.4461265236242095,High Risk
1057,Alabama,Fayette County,16053,0.2005064943699342,0.3276758874904739,0.2946973978616167,0.816091681110557,0.2158273381294964,0.1844267802723284,0.4842696659198541,High Risk
1059,Alabama,Franklin County,31966,0.2237762237762238,0.2847931910261888,0.1267812980462524,0.7531479766681702,0.2763091852099715,0.1966414878010077,0.4476017601654079,High Risk
1061,Alabama,Geneva County,26887,0.2203492272636611,0.2854334071156382,0.1950266107826607,0.8128576171226588,0.2189349112426035,0.1644659252117388,0.4565574496600479,High Risk
1063,Alabama,Greene County,7424,0.0778840865271288,0.6222497073611715,0.141014994106119,0.641202786945361,0.3838759689922481,0.1878415451803617,0.5712672565628878,High Risk
1065,Alabama,Hale County,14829,0.1386271464058845,0.3723088983919845,0.2088743180300349,0.7741643005137094,0.2561148528890464,0.218383169011146,0.4900017200982559,High Risk
1067,Alabama,Henry County,17647,0.2636248798737995,0.2721039747011744,0.126145385534609,0.8273169996127336,0.2050410648541489,0.2709325605615084,0.4072749840375483,Medium Risk
1069,Alabama,Houston County,108140,0.2557373482179014,0.258643137687316,0.156341050515558,0.6639048829366793,0.3620617985312456,0.28618839135942,0.4418307131377746,High Risk
1071,Alabama,Jackson County,53053,0.2151331814253162,0.25459088125054,0.1559802227141168,0.7818531061640229,0.2487267721954576,0.1977121004819436,0.4431745431786748,High Risk
1073,Alabama,Jefferson County,667755,0.3026515403352049,0.2296068898671327,0.1646337816886125,0.6648701663888111,0.361134269294472,0.4497862079011646,0.3953865513861129,Medium Risk
1075,Alabama,Lamar County,13693,0.2036010661766928,0.2665485200367963,0.1905826303384347,0.7875874885954972,0.2432166732206055,0.1496881342773642,0.4632508922651354,High Risk
1077,Alabama,Lauderdale County,95830,0.2800527044260839,0.1726341136622877,0.1413485345608058,0.716998395035387,0.3110448825717051,0.3702254667228562,0.3893412164077533,Medium Risk
1079,Alabama,Lawrence County,33276,0.3007355652126611,0.1911523289268027,0.0684126427216982,0.8499299625420087,0.1833125412783444,0.1889295873631863,0.3839939713061289,Medium Risk
1081,Alabama,Lee County,181134,0.2992426760793226,0.2816185645035168,0.1226671755131388,0.6904054424107079,0.3365977302840025,0.5261853548645619,0.3776904533324127,Medium Risk
1083,Alabama,Limestone County,111233,0.4068576194764613,0.1372602066441099,0.1148464545617391,0.807522116702672,0.2240617292994408,0.3749391681059572,0.3325575513841517,Low Risk
1085,Alabama,Lowndes County,9833,0.1253422463448392,0.4584940310805609,0.2383793126894432,0.8067642898743654,0.2247899159663865,0.1784193726158718,0.5172694869869855,High Risk
1087,Alabama,Macon County,18691,0.1655656357471396,0.3680272457872146,0.2893261425464624,0.6404996448242308,0.3845516097830593,0.2623091186634868,0.5177957978197639,High Risk
1089,Alabama,Madison County,405718,0.4242041450338771,0.1399818784958654,0.1254786980991747,0.7109132991575359,0.3168919778708243,0.5764562242232678,0.3107773816360718,Low Risk
1091,Alabama,Marengo County,18851,0.1662788378432285,0.3283827570350285,0.1428910046894983,0.7310491494831932,0.2975436819447961,0.2415607399374026,0.4664770068921404,High Risk
1093,Alabama,Marion County,29184,0.2041329457059794,0.2377266287242233,0.1750476133204359,0.7989124520139972,0.2323346523459581,0.1646833667453278,0.449009095515871,High Risk
1095,Alabama,Marshall County,99748,0.279581265752398,0.2446049652470298,0.1363255521176671,0.788541922296127,0.2422995693793027,0.2675235198596356,0.4090567618913073,Medium Risk
1097,Alabama,Mobile County,412590,0.2572725459501604,0.2379825451814304,0.1828840575771477,0.6872065129996746,0.339671543005598,0.3224841030274937,0.4307806881562498,High Risk
1099,Alabama,Monroe County,19388,0.1570132546796332,0.3001408469546644,0.3578738684088867,0.7462878570893893,0.282900991443705,0.1449290095941046,0.5219569188000849,High Risk
1101,Alabama,Montgomery County,226718,0.2603308532435585,0.2976717268577632,0.2008073538652701,0.6011258680501944,0.4223853974020857,0.4279349054673436,0.4418174907923873,High Risk
1103,Alabama,Morgan County,124471,0.3175018585563097,0.1937984817192499,0.12804192112154,0.7564203891841058,0.2731647634584013,0.2889989662558424,0.3917838377689063,Medium Risk
1105,Alabama,Perry County,8031,0.1289807858520045,0.4812070906767657,0.5750990008837554,0.8068481848184816,0.2247093023255814,0.1957656933931116,0.5849422854993847,High Risk
1107,Alabama,Pickens County,18721,0.1810808033798526,0.2985575968052808,0.1642213865646516,0.7889903123961123,0.2418687167356593,0.1624286583142324,0.466055841855947,High Risk
1109,Alabama,Pike County,32987,0.1956047409807133,0.3518775929528729,0.1275989941755224,0.6383107230940972,0.3866549182954181,0.3479137075153224,0.4595294831076525,High Risk
1111,Alabama,Randolph County,22510,0.2177321382161486,0.2971193719422089,0.1317554922115689,0.8035119982713403,0.227915003775213,0.2279538188586329,0.4359353817615312,High Risk
1113,Alabama,Russell County,58811,0.2108358365921028,0.3335726389168456,0.2056456613031997,0.638038805969326,0.3869162001838082,0.2259706945541664,0.49287459262089,High Risk
1115,Alabama,St. Clair County,94166,0.3695897879130377,0.1596513738119544,0.1584408753190394,0.8596991695637503,0.1739254279773264,0.265455830014833,0.3646694923278746,Low Risk
1117,Alabama,Shelby County,230211,0.4934814537234589,0.0926411144771648,0.1000490734986943,0.8466907427970248,0.1864250684963046,0.5816879064919926,0.2541660169926765,Low Risk
1119,Alabama,Sumter County,11878,0.1027252781790378,0.4024453462467132,0.4197395538623034,0.6956728017815257,0.3315363881401617,0.2360555730780553,0.5575462494140796,High Risk
1121,Alabama,Talladega County,81021,0.2505998754918375,0.2634792396729975,0.2369969971798451,0.7488528367757711,0.280436333372964,0.2052726405735796,0.4591501768023308,High Risk
1123,Alabama,Tallapoosa County,40938,0.2601495306767563,0.2394777100312957,0.1715479306539854,0.7916201200818136,0.2393417662215975,0.2524066068578536,0.4213698766137715,Medium Risk
1125,Alabama,Tuscaloosa County,237552,0.3017026189022732,0.247874929135247,0.2032768471329173,0.6390509148191947,0.3859436769866299,0.3985621598029609,0.4223672165487471,Medium Risk
1127,Alabama,Walker County,64841,0.2429420190872221,0.2738303622114162,0.17017722924004,0.7923747314072827,0.2386166692925791,0.2056288234919018,0.4406124034930099,High Risk
1129,Alabama,Washington County,15143,0.270339858931043,0.2521614083513628,0.1695766145959285,0.8928797625695822,0.1420425960087204,0.2106211765136834,0.4095794449865965,Medium Risk
1131,Alabama,Wilcox County,10172,0.147028425334389,0.4304503709209981,0.4107297270136043,0.8056020109782996,0.2259067357512953,0.1607769554299007,0.5455545412384026,High Risk
1133,Alabama,Winston County,23682,0.2474569510005984,0.2770548946409282,0.1246309531690087,0.7888139132384575,0.2420382165605095,0.1772449930545323,0.4376339981032697,High Risk
2013,Alaska,Aleutians East Borough,3491,0.296468440807248,0.1896757693801785,0.2889161368116968,0.668241560998205,0.3578947368421052,0.2269012818254072,0.457396124512203,High Risk
2016,Alaska,Aleutians West Census Area,5235,0.7203703815631214,0.1589134518383377,0.1478103511447777,0.3483528269144905,0.6652719665271967,0.2222765966117371,0.4031447995787533,Medium Risk
2020,Alaska,Anchorage Municipality,288976,0.5256541211597391,0.1210030329707834,0.1493798065449775,0.6650052723165074,0.361004447636675,0.4799756791840587,0.3199495533710911,Low Risk
2050,Alaska,Bethel Census Area,18394,0.348634943276257,0.3887646125291917,0.552808341934773,0.6406322488089735,0.3844241922120961,0.1588164698271257,0.5586978585103217,High Risk
2060,Alaska,Bristol Bay Borough,918,0.4793624698551232,0.1259370731987897,0.1490686783323661,0.5579032130017124,0.4639175257731959,0.259819346388525,0.395584144457159,Medium Risk
